Rank,Name,Net Worth,Age,Source,Country of Citizenship
1,"Carlos Slim Helu & family",69,72,telecom,Mexico
2,Bill Gates,61,56,Microsoft,United States
3,Warren Buffett,44,81,Berkshire Hathaway,United States
4,Bernard Arnault,41,63,LVMH,France
5,Amancio Ortega,37.5,75,Zara,Spain
6,Larry Ellison,36,67,Oracle,United States
7,Eike Batista,30,55,"mining, oil",Brazil
8,Stefan Persson,26,64,H&M,Sweden
9,Li Ka-shing,25.5,83,diversified,Hong Kong
10,Karl Albrecht,25.4,92,Aldi,Germany
11,Christy Walton & family,25.3,57,Wal-Mart,United States
12,Charles Koch,25,76,diversified,United States
12,David Koch,25,71,diversified,United States
14,Sheldon Adelson,24.9,78,casinos,United States
15,Liliane Bettencourt,24,89,"L'Oreal",France
16,Jim Walton,23.7,64,Wal-Mart,United States
17,Alice Walton,23.3,62,Wal-Mart,United States
18,S. Robson Walton,23.1,68,Wal-Mart,United States
19,Mukesh Ambani,22.3,54,"petrochemicals, oil & gas",India
20,Michael Bloomberg,22,70,Bloomberg LP,United States
21,Lakshmi Mittal,20.7,61,steel,India
22,George Soros,20,81,hedge funds,United States
23,Michele Ferrero & family,19,85,chocolates,Italy
24,Sergey Brin,18.7,38,Google,United States
24,Larry Page,18.7,39,Google,United States
26,Jeff Bezos,18.4,48,Amazon.com,United States
27,"Thomas & Raymond Kwok & family",18.3,0,real estate,Hong Kong
28,Alisher Usmanov,18.1,58,"steel, telecom, investments",Russia
29,Prince Alwaleed Bin Talal Alsaud,18,57,investments,Saudi Arabia
29,Lee Shau Kee,18,84,diversified,Hong Kong
29,Georgina Rinehart,18,58,Mining,Australia
32,Berthold & Theo Jr. Albrecht,17.8,0,"Aldi, Trader Joe's",Germany
32,Iris Fontbona & family,17.8,69,mining,Chile
34,Michael Otto & family,17.6,68,"retail, real estate",Germany
35,David Thomson & family,17.5,54,media,Canada
35,Mark Zuckerberg,17.5,27,Facebook,United States
37,Ricardo Salinas Pliego & family,17.4,56,"retail, media",Mexico
38,Alberto Bailleres Gonzalez & family,16.5,80,mining,Mexico
39,Rinat Akhmetov,16,45,"steel, coal",Ukraine
39,Cheng Yu-tung,16,86,diversified,Hong Kong
41,Michael Dell,15.9,47,Dell,United States
41,Vladimir Lisin,15.9,55,"steel, transport",Russia
41,Azim Premji,15.9,66,software,India
44,Steve Ballmer,15.7,56,Microsoft,United States
45,Alexey Mordashov,15.3,46,"steel, investments",Russia
46,Vladimir Potanin,14.5,51,metals,Russia
47,Phil Knight,14.4,74,Nike,United States
48,Paul Allen,14.2,59,"Microsoft, investments",United States
48,"German Larrea Mota Velasco & family",14.2,58,mining,Mexico
50,Carl Icahn,14,76,leveraged buyouts,United States
50,"Birgit Rausing & family",14,88,packaging,Sweden
52,"Forrest Mars, Jr.",13.8,80,candy,United States
52,Jacqueline Mars,13.8,72,candy,United States
52,John Mars,13.8,75,candy,United States
52,Joseph Safra,13.8,73,banking,Brazil
56,Vagit Alekperov,13.5,61,Lukoil,Russia
57,Mikhail Fridman,13.4,47,"oil, banking, telecom",Russia
58,Mikhail Prokhorov,13.2,46,investments,Russia
59,Susanne Klatten,13,49,"BMW, pharmaceuticals",Germany
59,Francois Pinault & family,13,75,retail,France
