Tine Machine Incidents
138 1 1
116 2 3
286 1 7
266 1 2
169 1 1
114 1 0
229 2 2
282 2 3
225 1 5
132 1 0
134 1 0
169 2 2
207 2 1
118 1 1
245 1 4
102 2 0
219 2 1
264 2 6
189 2 4
205 1 0
183 1 0
201 2 3
191 1 3
223 2 4
233 2 4
258 2 2
142 2 1
159 2 3
151 1 2
110 2 3
205 1 1
237 1 3
241 1 2
110 2 1
195 1 0
270 1 1
278 2 3
229 2 2
175 2 3
239 1 1
159 2 3
177 2 2
132 2 0
272 2 4
258 1 3
298 2 1
201 1 3
140 1 0
239 1 3
278 2 1
296 2 3
136 1 1
276 1 1
118 2 4
157 1 1
114 2 3
221 2 5
118 2 2
146 2 1
144 1 1
