Time Machine Person Incidents
290 2 2 3
203 1 1 1
256 2 2 6
140 2 2 3
179 2 2 3
231 1 2 2
114 2 1 0
148 1 1 5
189 2 1 2
151 2 1 2
106 1 2 1
116 1 1 2
191 2 2 2
284 1 2 3
183 2 1 0
215 1 1 1
231 1 2 1
142 2 1 3
300 2 2 5
116 2 2 0
243 1 1 2
189 2 2 3
203 1 2 3
153 1 1 1
227 1 1 2
108 2 1 2
241 1 1 0
245 1 2 3
260 1 2 6
252 1 2 3
148 1 2 2
175 2 2 1
217 2 1 4
132 1 2 4
227 1 1 0
211 2 1 3
179 2 2 6
237 1 2 2
142 1 2 0
193 1 2 2
148 2 2 2
189 2 2 5
231 1 1 4
272 1 2 1
266 2 1 5
185 1 2 2
118 1 2 0
258 1 1 4
102 1 1 0
128 2 1 1
181 2 1 2
173 2 1 4
173 1 1 1
185 2 2 3
243 1 1 3
138 2 2 0
148 2 2 2
243 1 2 2
124 2 2 1
247 1 1 0
