y u x
-1.2 A 44.5
37.4 A 21.8
40.2 A 17.1
15.8 A 37.5
-9.5 A 51.7
1.3 A 45.2
54.8 A 10.8
21.4 A 31.7
-24.1 A 60.6
-19.2 A 57.6
9.8 A 43.3
25.1 A 24.7
21.5 A 28.3
38.6 A 20.6
45.3 A 9.2
25.8 A 30.4
52.4 A 12.1
35 A 18.7
-6.3 A 57.1
8 A 36.2
10.9 A 38.3
20.7 A 28.3
22.2 A 26.3
-5.1 A 47.5
10.1 A 36.1
-16.2 A 53.1
-10.7 A 57
50.9 A 8.8
35.9 A 17.3
23.3 A 28.3
48.4 B 35.3
21.2 B 5.8
11.8 B 4
32.9 B 16.6
58.9 B 40.3
36 B 19.7
73.9 B 57.5
58.7 B 32.7
-0.2 B 3
72.6 B 46.9
13.6 B 8.9
76.4 B 52.5
42.5 B 24.7
14 B -0.1
42.9 B 31.3
29.4 B 17
62.2 B 39.3
75 B 53.1
46.7 B 23.3
56.8 B 37.4
70.2 B 44.7
25 B 12.1
12 B 6.3
10.4 B 3.3
26.4 B 17.7
13.3 B 5.9
85.4 B 49.6
71.5 B 49.7
76 B 55.9
62.7 B 40.9
