SalaPreMBA SalaPostMBA Tuition GMAT
54 165 75 710
64 177 75 716
60 164 75 710
57 160 75 707
46 134 72 700
58 160 78 710
62 180 71 707
52 139 72 690
44 135 71 680
53 143 76 700
44 108 62 670
33 93 39 640
55 150 70 700
47 125 68 660
51 128 69 700
45 118 76 690
33 86 22 660
55 145 77 698
56 137 69 710
52 121 72 701
38 105 66 680
45 112 51 645
36 99 47 650
37 90 30 637
45 120 66 622
53 135 75 695
41 100 68 649
44 115 67 690
41 97 48 651
41 106 55 670
43 103 59 661
40 95 47 640
37 89 46 630
40 90 57 670
37 94 56 650
45 110 68 660
47 130 67 660
45 110 69 650
40 98 53 600
41 110 56 640
45 115 61 640
38 95 53 650
42 115 62 660
40 100 43 645
40 91 46 660
42 100 62 637
24 70 49 580
24 70 23 595
35 93 47 620
40 100 43 670
38 94 62 655
40 85 28 650
27 72 28 570
48 107 46 680
35 80 29 640
40 90 58 635
44 99 55 650
51 100 68 680
37 100 50 560
38 90 56 605
