City,Population,Area,Buildings,Points
Hong Kong,6787000,1001,7445,115102
New York City,8104079,800,5455,35611
Seoul,10331244,616,2839,15850
Chicago,2862244,589,1045,15463
Singapore,3437300,685,3503,13147
Bangkok,7587882,1569,711,11105
Tokyo,8130408,621,2109,9330
Shanghai,9145711,6639,552,8742
Sao Paulo,10600060,1525,3023,7857
Toronto,2481494,630,1623,6701
Kuala Lumpur,1401400,204,517,5114
Rio de Janeiro,5937253,1261,1925,5087
Shenzhen,1245000,2020,222,4516
Houston,2012626,1398,332,3627
Istanbul,10033478,1991,2099,3578
Curitiba,1644600,430,628,3520
Buenos Aires,2965403,200,1457,3504
Honolulu,377260,266,424,3196
Los Angeles,3845541,1216,456,2795
Moscow,10391600,1081,488,2763
Osaka,2598589,220,740,2749
London,7172036,1579,1296,2742
Vancouver,583296,115,527,2653
Dallas,1208318,887,240,2343
Atlanta,419122,341,193,2265
Beijing,7746519,16808,289,2196
Caracas,3517300,1930,671,2162
Mumbai,11914398,621,546,2089
San Francisco,744230,116,365,2052
Philadelphia,1470151,350,334,2007
Mexico City,9875344,1487,729,2007
Dubai,674100,3885,158,1905
Paris,2152467,105,248,1785
Nanjing,3454000,6516,60,1752
Seattle,571480,229,177,1737
Gold Coast City,418438,1402,231,1732
Miami,379724,92,192,1709
Montr¨¦al,1812723,500,410,1663
Boston,569165,125,244,1655
Calgary,933495,702,212,1639
Recife,1449135,218,384,1534
Taipei,2719293,272,163,1414
Benidorm,64956,39,332,1356
Macao,453733,21,296,1329
Frankfurt,652412,248,275,1310
Minneapolis,373943,142,194,1209
Cairo,6789479,215,161,1200
Brisbane,1733200,1327,201,1127
Denver,556835,397,180,1092
Pittsburgh,322450,144,145,1015
Las Vegas,534847,294,98,1009
Detroit,900198,359,175,1009
Madrid,3099834,606,658,985
Glasgow,662954,177,214,918
Aventura,27236,7,64,769
Chengdu,3347433,12300,62,763
Johannesburg,712507,1644,126,757
Salvador,2520504,325,266,752
Rotterdam,599484,208,258,742
Fortaleza,2219837,312,209,728
New Orleans,462269,468,106,695
Milan,1182693,182,646,693
Miami Beach,89104,18,131,690
Londrina,460909,1725,371,675
Ottawa,774072,2779,279,650
Warsaw,1690821,512,186,631
Barcelona,1578546,98,395,631
Tel Aviv Yaffo,371400,52,198,617
Pattaya,72000,53,49,616
Durban,847324,2291,202,615
Berlin,3472009,892,313,609
Balne¨¢rio Cambori¨²,80429,46,150,609
Jersey City,239097,39,78,583
Mississauga,612925,288,202,582
Nagoya,2171378,326,163,574
Cleveland,458684,201,120,554
Charlotte,594359,451,54,554
Edmonton,712391,684,226,546
