Rank,Company,Country,Sales,Profits,Assets,Market.Value
1,Exxon Mobil,United States,433.5,41.1,331.1,407.4
2,JPMorgan Chase,United States,110.8,19,2265.8,170.1
3,General Electric,United States,147.3,14.2,717.2,213.7
4,Royal Dutch Shell,Netherlands,470.2,30.9,340.5,227.6
5,ICBC,China,82.6,25.1,2039.1,237.4
6,HSBC Holdings,United Kingdom,102,16.2,2550,164.3
7,PetroChina,China,310.1,20.6,304.7,294.7
8,Berkshire Hathaway,United States,143.7,10.3,392.6,202.2
9,Wells Fargo,United States,87.6,15.9,1313.9,178.7
10,Petrobras-Petroleo Brasil,Brazil,145.9,20.1,319.4,180
11,BP,United Kingdom,375.5,25.7,292.5,147.4
12,Chevron,United States,236.3,26.9,209.5,218
13,China Construction Bank,China,68.7,20.5,1637.8,201.9
14,Citigroup,United States,102.6,11.1,1873.9,107.5
15,Gazprom,Russia,117.6,31.7,302.6,159.8
16,Wal-Mart Stores,United States,447,15.7,193.4,208.4
17,Volkswagen Group,Germany,221.9,21.5,328.7,79.5
18,Total,France,216.2,15.9,213,132.4
19,Agricultural Bank of China,China,62.4,14.4,1563.9,154.8
20,BNP Paribas,France,119,7.9,2539.1,61.5
21,Bank of China,China,60.8,15.8,1583.7,129.1
22,Apple,United States,127.8,33,138.7,546
23,Banco Santander,Spain,109.6,6.9,1624.7,75.6
24,Sinopec-China Petroleum,China,391.4,11.6,179.8,104.2
25,Toyota Motor,Japan,228.5,4.9,358.3,147.9
26,Samsung Electronics,South Korea,142.4,11.5,133.7,162
27,ConocoPhillips,United States,230.9,12.4,153.2,98.8
28,Vodafone,United Kingdom,73.5,12.8,239.2,131.2
29,ENI,Italy,143.2,8.9,178.7,97.6
30,Itau Unibanco Holding,Brazil,75.5,7.4,426.4,91.2
31,China Mobile,Hong Kong-China,81.7,19.5,151.2,216.5
32,IBM,United States,106.9,15.9,116.4,238.7
33,AT&T,United States,126.7,3.9,270.3,187.3
34,Pfizer,United States,67.4,10,188,165.4
35,Procter & Gamble,United States,85.1,10.1,134.3,185.2
36,Mitsubishi UFJ Financial,Japan,53.3,7,2478.8,74.5
37,Daimler,Germany,138,7.3,188.7,66.3
38,American Intl Group,United States,64.2,17.8,555.8,50.3
39,ING Group,Netherlands,139,7.5,1653,35.8
40,Nestle,Switzerland,89.2,10.1,119.4,205.4
41,Statoil,Norway,111.6,13.1,127.8,89
42,Microsoft,United States,72.1,23.5,112.2,273.5
43,Banco Bradesco,Brazil,79.8,5.9,397.1,65.3
44,Ford Motor,United States,136.3,20.2,178.3,47.5
45,Nippon Telegraph & Tel,Japan,124,6.1,226.6,60.8
45,AXA Group,France,132.8,5.6,947.8,40.6
47,Commonwealth Bank,Australia,49.5,6.9,713.7,81.6
47,GDF Suez,France,117.5,5.2,275.2,58.3
49,BHP Billiton,Australia,71.7,23.6,102.9,187.5
50,Allianz,Germany,134.4,3.3,832.8,56.3
