grade	class	standardized
   48.00	    1.00	   -3.24
   54.00	    1.00	   -2.60
   61.00	    1.00	   -1.86
   62.00	    1.00	   -1.75
   63.00	    1.00	   -1.65
   64.00	    1.00	   -1.54
   64.00	    1.00	   -1.54
   65.00	    1.00	   -1.43
   65.00	    1.00	   -1.43
   65.00	    1.00	   -1.43
   66.00	    1.00	   -1.33
   68.00	    1.00	   -1.12
   68.00	    1.00	   -1.12
   68.00	    1.00	   -1.12
   69.00	    1.00	   -1.01
   69.00	    1.00	   -1.01
   70.00	    1.00	    -.90
   71.00	    1.00	    -.80
   72.00	    1.00	    -.69
   72.00	    1.00	    -.69
   72.00	    1.00	    -.69
   72.00	    1.00	    -.69
   73.00	    1.00	    -.59
   73.00	    1.00	    -.59
   74.00	    1.00	    -.48
   74.00	    1.00	    -.48
   74.00	    1.00	    -.48
   74.00	    1.00	    -.48
   74.00	    1.00	    -.48
   74.00	    1.00	    -.48
   74.00	    1.00	    -.48
   74.00	    1.00	    -.48
   75.00	    1.00	    -.37
   75.00	    1.00	    -.37
   75.00	    1.00	    -.37
   75.00	    1.00	    -.37
   76.00	    1.00	    -.27
   76.00	    1.00	    -.27
   77.00	    1.00	    -.16
   77.00	    1.00	    -.16
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   78.00	    1.00	    -.06
   79.00	    1.00	     .05
   79.00	    1.00	     .05
   79.00	    1.00	     .05
   79.00	    1.00	     .05
   79.00	    1.00	     .05
   80.00	    1.00	     .16
   80.00	    1.00	     .16
   80.00	    1.00	     .16
   81.00	    1.00	     .26
   81.00	    1.00	     .26
   81.00	    1.00	     .26
   81.00	    1.00	     .26
   82.00	    1.00	     .37
   83.00	    1.00	     .47
   83.00	    1.00	     .47
   83.00	    1.00	     .47
   83.00	    1.00	     .47
   83.00	    1.00	     .47
   84.00	    1.00	     .58
   84.00	    1.00	     .58
   84.00	    1.00	     .58
   84.00	    1.00	     .58
   84.00	    1.00	     .58
   85.00	    1.00	     .69
   85.00	    1.00	     .69
   85.00	    1.00	     .69
   86.00	    1.00	     .79
   86.00	    1.00	     .79
   86.00	    1.00	     .79
   87.00	    1.00	     .90
   87.00	    1.00	     .90
   88.00	    1.00	    1.00
   88.00	    1.00	    1.00
   88.00	    1.00	    1.00
   88.00	    1.00	    1.00
   89.00	    1.00	    1.11
   89.00	    1.00	    1.11
   89.00	    1.00	    1.11
   90.00	    1.00	    1.22
   90.00	    1.00	    1.22
   92.00	    1.00	    1.43
   92.00	    1.00	    1.43
   94.00	    1.00	    1.64
   94.00	    1.00	    1.64
   95.00	    1.00	    1.75
   96.00	    1.00	    1.85
   98.00	    1.00	    2.07
  100.00	    1.00	    2.28
   52.00	    2.00	   -2.60
   54.00	    2.00	   -2.31
   55.00	    2.00	   -2.17
   56.00	    2.00	   -2.02
   58.00	    2.00	   -1.74
   58.00	    2.00	   -1.74
   60.00	    2.00	   -1.45
   60.00	    2.00	   -1.45
   60.00	    2.00	   -1.45
   61.00	    2.00	   -1.31
   61.00	    2.00	   -1.31
   61.00	    2.00	   -1.31
   62.00	    2.00	   -1.17
   63.00	    2.00	   -1.03
   63.00	    2.00	   -1.03
   63.00	    2.00	   -1.03
   64.00	    2.00	    -.88
   64.00	    2.00	    -.88
   64.00	    2.00	    -.88
   64.00	    2.00	    -.88
   64.00	    2.00	    -.88
   64.00	    2.00	    -.88
   65.00	    2.00	    -.74
   65.00	    2.00	    -.74
   65.00	    2.00	    -.74
   65.00	    2.00	    -.74
   65.00	    2.00	    -.74
   66.00	    2.00	    -.60
   66.00	    2.00	    -.60
   66.00	    2.00	    -.60
   66.00	    2.00	    -.60
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   67.00	    2.00	    -.46
   68.00	    2.00	    -.31
   68.00	    2.00	    -.31
   68.00	    2.00	    -.31
   69.00	    2.00	    -.17
   70.00	    2.00	    -.03
   70.00	    2.00	    -.03
   70.00	    2.00	    -.03
   71.00	    2.00	     .12
   71.00	    2.00	     .12
   72.00	    2.00	     .26
   72.00	    2.00	     .26
   72.00	    2.00	     .26
   72.00	    2.00	     .26
   72.00	    2.00	     .26
   72.00	    2.00	     .26
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   73.00	    2.00	     .40
   74.00	    2.00	     .54
   74.00	    2.00	     .54
   74.00	    2.00	     .54
   74.00	    2.00	     .54
   74.00	    2.00	     .54
   75.00	    2.00	     .69
   75.00	    2.00	     .69
   75.00	    2.00	     .69
   75.00	    2.00	     .69
   75.00	    2.00	     .69
   76.00	    2.00	     .83
   76.00	    2.00	     .83
   77.00	    2.00	     .97
   77.00	    2.00	     .97
   77.00	    2.00	     .97
   77.00	    2.00	     .97
   77.00	    2.00	     .97
   78.00	    2.00	    1.11
   78.00	    2.00	    1.11
   78.00	    2.00	    1.11
   79.00	    2.00	    1.26
   79.00	    2.00	    1.26
   79.00	    2.00	    1.26
   79.00	    2.00	    1.26
   79.00	    2.00	    1.26
   79.00	    2.00	    1.26
   80.00	    2.00	    1.40
   80.00	    2.00	    1.40
   80.00	    2.00	    1.40
   80.00	    2.00	    1.40
   80.00	    2.00	    1.40
   81.00	    2.00	    1.54
   81.00	    2.00	    1.54
   81.00	    2.00	    1.54
   82.00	    2.00	    1.69
