Age Sex Opinion
51 1 0
57 1 0
46 1 0
20 1 1
50 0 0
22 1 0
40 1 0
29 0 1
68 1 0
66 0 0
28 1 1
43 0 1
43 0 0
53 0 1
69 1 0
63 0 1
47 0 1
67 0 0
65 0 0
66 1 0
24 0 0
38 0 1
24 1 0
40 1 1
33 1 1
36 1 1
68 1 0
28 0 1
43 0 1
58 1 1
28 0 1
27 0 1
38 0 0
40 1 0
64 0 1
63 1 0
26 0 1
43 0 0
42 1 1
56 1 0
51 1 0
22 0 1
29 0 1
69 1 0
64 0 0
21 1 0
61 0 0
45 1 0
51 0 0
36 1 1
26 1 1
43 1 0
63 1 0
58 1 0
60 0 0
53 1 1
58 1 0
66 1 0
19 1 0
40 1 0
30 0 0
45 1 1
31 1 1
43 1 0
38 0 1
30 1 0
68 1 0
34 1 0
33 1 1
35 1 1
52 1 0
70 1 0
63 1 0
23 0 1
63 1 0
51 1 1
34 1 0
62 1 0
42 1 1
68 1 0
37 0 0
41 1 0
33 0 0
68 1 0
63 1 0
33 1 1
36 1 1
41 0 1
49 1 0
51 0 1
20 1 0
30 1 0
37 0 1
35 0 1
51 1 0
51 1 0
25 1 0
18 1 1
66 0 0
33 1 0
23 0 1
42 0 1
35 1 0
27 1 0
64 1 0
54 0 1
21 0 1
52 1 0
54 1 0
60 1 0
60 1 0
22 1 0
67 1 0
35 1 0
56 0 1
25 0 1
24 1 1
45 0 0
21 1 0
67 1 0
27 0 1
63 1 0
45 0 0
48 1 1
21 0 1
56 1 0
57 1 0
51 1 0
28 0 1
58 1 0
69 1 0
42 0 0
66 0 1
23 0 1
45 1 0
47 1 0
20 1 1
40 1 0
60 1 0
60 1 0
43 0 1
34 1 1
53 1 0
65 1 0
39 1 0
64 0 0
39 0 1
68 1 0
58 1 0
56 1 1
30 0 0
20 0 1
67 1 0
60 1 0
21 1 0
55 1 0
55 0 0
47 1 0
58 1 0
64 1 0
64 1 0
60 0 0
59 1 0
41 0 1
24 1 1
66 1 0
40 0 1
67 1 0
51 0 0
49 1 0
50 1 0
29 1 0
33 1 0
66 1 0
29 1 0
20 1 1
40 0 0
25 1 1
19 0 1
52 1 0
30 0 1
64 1 0
33 1 0
38 1 0
58 0 1
66 0 0
20 0 1
38 0 1
51 0 1
51 1 0
34 0 1
32 1 0
33 1 0
55 0 0
39 0 0
61 1 0
42 1 0
25 0 1
46 1 0
55 0 0
