Airports Railways.km Roadways.km Waterways.km Merchant.marine
Albania 11 447 18000 43 24
Angola 232 2761 51429 1300 6
Argentina 1272 31902 231374 11000 46
Australia 461 38550 812972 2000 50
Austria 55 6383 107262 358 4
Bangladesh 16 2768 239226 8370 40
Belgium 43 3536 152256 2043 79
Bolivia 1061 3504 62479 10000 23
Brazil 4263 29295 1751868 50000 136
Bulgaria 214 4294 40231 470 74
Burma 86 3955 27000 12800 24
Cambodia 17 602 38257 2400 626
Canada 1343 48068 1042300 636 175
China 467 75438 1930544 124000 1826
Colombia 934 3304 164257 18000 17
Congo.Democratic.Republic 237 5138 153497 15000 1
Congo.Republic 31 894 17289 1125 1
CostaRica 151 278 35330 730 1
Croatia 68 2726 28788 785 80
Cuba 165 4226 60858 240 11
Czech.Republic 122 9597 128512 664 1
Denmark 91 2644 72362 400 327
Ecuador 406 966 43670 1500 37
Egypt 88 5063 92370 3500 67
Estonia 19 968 57016 320 29
Fiji 28 597 3440 203 9
Finland 148 5741 78821 7842 98
France 476 29370 951500 8500 138
Gabon 53 814 9170 1600 2
Germany 550 48215 644480 7467 393
Ghana 12 953 62221 1293 4
Greece 81 2571 117533 6 869
Honduras 112 699 13600 465 123
India 346 63221 3316452 14500 501
Indonesia 652 6458 391009 21579 971
Iran 331 8367 172927 850 74
Iraq 110 2272 44900 5279 14
Ireland 34 3237 96602 956 29
Italy 132 19460 487700 2400 609
Japan 176 23474 1196999 1770 683
Kazakhstan 97 13700 91563 4000 5
Korea.North 77 5235 25554 2250 167
Korea.South 105 3472 102062 1608 812
Latvia 42 2303 69675 300 22
Lithuania 87 1771 79984 441 45
Luxembourg 2 275 5227 37 45
Madagascar 104 854 65663 600 8
Malaysia 116 1890 98721 7200 306
Mexico 1834 17665 356945 2900 55
Moldova 10 1138 12666 424 39
Mongolia 44 1810 49250 580 77
Mozambique 147 3123 30400 460 2
Netherlands 27 2797 134981 6211 622
Nigeria 70 3505 193200 8600 68
Norway 98 4114 92946 1577 688
Panama 116 355 11643 800 6323
Paraguay 838 36 29500 3100 23
Peru 237 1989 78829 8808 8
Philippines 255 897 200037 3219 391
Poland 123 23072 423997 3997 15
Portugal 66 2786 78470 210 117
Romania 61 11385 198817 1731 17
Russia 1260 87157 854000 102000 1074
Slovakia 35 3662 42993 172 51
Spain 154 14974 681224 1000 158
Sri.Lanka 18 1449 97286 160 26
Sudan 101 5978 11900 4068 3
Sweden 250 11528 425300 2052 195
Switzerland 65 4839 71296 65 35
Syria 90 2711 94890 900 77
Thailand 106 4071 62401 4000 398
Togo 9 568 7520 50 10
Turkey 117 8697 426906 1200 612
Turkmenistan 28 2440 24000 1300 7
Ukraine 437 22473 169477 2253 189
United.Kingdom 449 16567 388008 3200 518
United.States 14947 226612 6465799 41009 422
Uruguay 60 2073 77732 1600 17
Venezuela 390 682 96155 7100 62
Vietnam 44 2600 222179 17702 387
