led hed net arti com man
86 43 85 43 93 71
99 74 99 78 99 89
37 22 10 27 24 33
5 19 56 13 11 38
45 43 55 39 54 58
21 32 21 34 35 32
36 78 48 75 42 78
69 31 85 32 70 52
40 98 36 99 64 86
26 14 40 8 25 21
51 68 38 68 48 72
63 86 79 87 76 95
39 80 57 80 55 68
78 40 72 42 75 58
56 49 54 48 52 61
39 80 71 76 52 81
65 5 53 11 67 41
28 11 31 12 23 35
50 32 68 23 49 58
69 98 69 97 81 99
55 99 78 97 60 90
36 11 5 15 26 5
77 18 61 27 68 54
67 33 95 34 59 61
45 87 46 85 67 80
61 72 63 63 62 75
41 63 74 55 50 76
6 5 13 5 5 13
28 53 35 51 31 59
66 20 79 18 67 55
