x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Algeria,6,5940,94,96,1.5,64,24,7,29,2.4
Angola,146,3890,49,51,2.8,54,17,4,46,6.5
Benin,108,1250,73,87,3.1,40,18,4,44,5.6
Botswana,51,11730,85,83,1.2,58,21,5,35,3
Burkina Faso,131,1130,42,52,3,19,17,4,46,6.1
Burundi,30,320,73,76,3.9,10,17,4,45,6.8
Cameroon,141,2060,65,74,2.1,56,19,5,41,4.5
Cape Verde,104,2590,87,88,2.3,58,20,5,39,3.5
Central African Republic,157,690,38,53,1.7,38,18,6,42,4.7
Chad,193,1170,49,71,3.1,26,17,5,46,6.3
Comoros,66,1140,50,60,2.5,38,19,4,42,4.5
Congo,132,2420,52,58,2.2,61,19,5,42,4.6
Cote d Ivoire,132,1580,49,61,1.8,45,19,5,41,4.6
Democratic Republic of the Congo,125,270,47,60,3.2,33,16,4,47,6.7
Equatorial Guinea,128,16620,83,91,2.4,39,19,6,42,5.4
Eritrea,85,680,43,50,3.6,20,18,4,43,5.2
Ethiopia,109,630,68,74,2.5,16,18,5,44,5.4
Gabon,144,11180,88,88,1.5,84,22,7,35,3.1
Gambia,167,1110,64,59,2.8,55,20,6,41,4.8
Ghana,74,1240,71,73,2.1,49,20,6,39,4
Guinea,153,1130,66,77,2,33,18,5,43,5.6
Kenya,116,1470,76,75,2.6,21,18,4,43,5
Lesotho,98,1810,74,71,0.7,19,19,7,40,3.5
Madagascar,154,870,96,96,2.7,27,18,5,44,4.9
Malawi,160,690,94,88,2.6,18,16,5,47,5.7
Mali,192,1000,54,67,3,31,16,5,48,6.6
Mauritania,88,1970,82,78,2.7,41,20,5,40,4.5
Mauritius,36,10640,96,94,0.8,42,31,10,24,1.9
Mozambique,185,660,73,79,2.1,35,18,5,44,5.2
Namibia,88,4770,79,74,1.3,36,20,5,38,3.3
Niger,199,630,37,50,3.5,17,16,5,48,7.3
Nigeria,126,1410,59,68,2.4,49,18,5,44,5.5
Rwanda,44,730,81,76,2.5,20,18,4,43,6
Sao Tome and Principe,91,1490,98,97,1.6,59,19,6,41,4
Senegal,100,1560,70,71,2.5,42,19,6,42,4.9
Sierra Leone,178,610,36,50,2.8,41,18,5,43,6.5
South Africa,65,8900,88,88,0.7,60,24,7,32,2.7
Swaziland,73,4700,79,78,0.8,24,19,5,39,3.6
Togo,89,770,75,86,2.7,41,18,5,43,5
United Republic of Tanzania,139,980,97,98,2.5,25,18,5,44,5.3
Zambia,161,1140,94,90,1.9,35,17,5,46,5.3
Argentina,62,11670,98,99,1,90,29,14,26,2.3
Barbados,51,15150,96,97,0.3,53,36,13,18,1.5
Belize,90,7080,97,97,2.2,48,21,6,37,3
Bolivia,97,3810,95,94,1.9,65,21,7,38,3.6
Brazil,71,8700,95,93,1.3,85,27,9,28,2.3
Canada,14,36280,100,99,0.9,80,39,18,17,1.5
Chile,49,11300,89,90,1,88,31,12,24,1.9
Colombia,92,6130,88,89,1.4,73,26,8,30,2.3
Costa Rica,77,9220,88,87,1.6,62,26,8,28,2.1
Dominican Republic,118,5550,78,76,1.5,68,24,8,33,2.9
