V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
Algeria,6,5940,94,96,33351,1.5,64,24,7,29,2.4
Angola,146,3890,49,51,16557,2.8,54,17,4,46,6.5
Benin,108,1250,73,87,8760,3.1,40,18,4,44,5.6
Botswana,51,11730,85,83,1858,1.2,58,21,5,35,3
Burkina Faso,131,1130,42,52,14359,3,19,17,4,46,6.1
Burundi,30,320,73,76,8173,3.9,10,17,4,45,6.8
Cameroon,141,2060,65,74,18175,2.1,56,19,5,41,4.5
Cape Verde,104,2590,87,88,519,2.3,58,20,5,39,3.5
Central African Republic,157,690,38,53,4265,1.7,38,18,6,42,4.7
Chad,193,1170,49,71,10468,3.1,26,17,5,46,6.3
Comoros,66,1140,50,60,818,2.5,38,19,4,42,4.5
Congo,132,2420,52,58,3689,2.2,61,19,5,42,4.6
Cote d'Ivoire,132,1580,49,61,18914,1.8,45,19,5,41,4.6
Democratic Republic of the Congo,125,270,47,60,60644,3.2,33,16,4,47,6.7
Equatorial Guinea,128,16620,83,91,496,2.4,39,19,6,42,5.4
Eritrea,85,680,43,50,4692,3.6,20,18,4,43,5.2
Ethiopia,109,630,68,74,81021,2.5,16,18,5,44,5.4
Gabon,144,11180,88,88,1311,1.5,84,22,7,35,3.1
Gambia,167,1110,64,59,1663,2.8,55,20,6,41,4.8
Ghana,74,1240,71,73,23008,2.1,49,20,6,39,4
Guinea,153,1130,66,77,9181,2,33,18,5,43,5.6
Kenya,116,1470,76,75,36553,2.6,21,18,4,43,5
Lesotho,98,1810,74,71,1995,0.7,19,19,7,40,3.5
Madagascar,154,870,96,96,19159,2.7,27,18,5,44,4.9
Malawi,160,690,94,88,13571,2.6,18,16,5,47,5.7
Mali,192,1000,54,67,11968,3,31,16,5,48,6.6
Mauritania,88,1970,82,78,3044,2.7,41,20,5,40,4.5
Mauritius,36,10640,96,94,1252,0.8,42,31,10,24,1.9
Mozambique,185,660,73,79,20971,2.1,35,18,5,44,5.2
